City,City,Cloudiness (%),Country,Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
dzheguta,dzheguta,12,ru,80,43.97,16.19,2.15
lujan,lujan,12,ar,38,-46.57,63.35,11.32
kirkwood,kirkwood,90,za,94,-33.4,69.8,10.29
durham,durham,1,us,55,36.0,36.05,4.38
marrakesh,marrakesh,20,ma,84,31.63,37.4,8.05
tzaneen,tzaneen,68,za,92,-23.83,64.97,3.15
pontes e lacerda,pontes e lacerda,8,br,93,-15.23,73.25,2.71
alanya,alanya,0,tr,100,36.55,37.79,9.08
sangmelima,sangmelima,68,cm,91,2.93,68.48,2.48
znamenskoye,znamenskoye,36,ru,74,57.13,-16.13,9.31
neman,neman,92,ru,98,55.03,34.37,4.72
chirkey,chirkey,90,ru,97,42.96,32.0,2.24
bailieborough,bailieborough,92,ie,97,53.92,49.76,18.48
bikaner,bikaner,0,in,97,28.02,59.66,4.72
kostomuksha,kostomuksha,80,ru,86,64.59,23.57,2.37
thomasville,thomasville,40,us,64,35.88,34.72,5.28
fram,fram,0,py,88,-27.1,77.0,2.24
kajaani,kajaani,90,fi,92,64.22,30.2,1.12
khuldabad,khuldabad,0,in,27,20.05,78.8,4.7
funtua,funtua,36,ng,44,11.52,59.57,12.55
oskemen,oskemen,20,kz,67,49.96,-27.41,2.24
bay city,bay city,90,us,52,43.59,48.52,19.46
cururupu,cururupu,88,br,96,-1.82,76.13,3.71
saint john,saint john,5,ca,84,45.28,5.0,2.24
amambai,amambai,8,br,88,-23.11,73.7,9.75
lar,lar,0,ir,36,27.66,60.8,2.82
borba,borba,68,br,96,-4.39,75.63,3.15
taybad,taybad,36,ir,93,34.74,38.1,6.73
bauchi,bauchi,0,ng,63,10.31,51.47,4.83
salumbar,salumbar,0,in,49,24.14,72.08,4.61
cradock,cradock,64,za,86,-32.16,62.99,3.15
shurugwi,shurugwi,0,zw,71,-19.67,70.82,4.72
perene,perene,44,pe,95,-10.95,67.13,1.81
cullman,cullman,1,us,75,34.17,49.73,7.4
muhos,muhos,76,fi,100,64.81,28.4,2.48
biala podlaska,biala podlaska,40,pl,86,52.03,28.4,4.47
arys,arys,0,kz,23,42.43,24.8,8.95
la baneza,la baneza,40,es,86,42.3,33.8,3.36
szentlorinc,szentlorinc,40,hu,86,46.04,33.8,3.36
vinhedo,vinhedo,40,br,77,-23.03,68.77,10.29
sindor,sindor,92,ru,80,62.87,20.96,13.78
patitirion,patitirion,75,gr,100,39.15,44.6,13.87
xapuri,xapuri,24,br,86,-10.65,77.48,2.37
sumbe,sumbe,88,ao,100,-11.2,76.4,1.92
ouricuri,ouricuri,88,br,94,-7.88,65.28,4.61
cumbernauld,cumbernauld,92,gb,93,55.95,45.82,12.75
marsassoum,marsassoum,0,sn,48,12.83,66.2,4.7
yokadouma,yokadouma,92,cm,86,3.52,72.75,1.25
campo maior,campo maior,88,br,100,-4.83,70.1,2.93
black river,black river,75,jm,69,18.03,78.8,16.11
ntungamo,ntungamo,0,ug,92,-0.87,67.8,3.6
tubuala,tubuala,20,pa,88,9.52,75.2,13.0
mudbidri,mudbidri,20,in,58,13.08,86.0,5.82
westerland,westerland,80,de,100,54.91,37.4,5.82
aventura,aventura,90,us,64,25.96,70.47,17.22
madaoua,madaoua,0,ne,44,14.07,57.45,11.1
amla,amla,0,in,37,21.92,74.69,4.38
norrtalje,norrtalje,90,se,99,59.76,32.0,8.05
naryan-mar,naryan-mar,44,ru,85,67.67,25.23,26.53
ouadda,ouadda,0,cf,48,8.07,65.96,12.88
toribio,toribio,0,co,94,2.95,68.0,5.82
marienburg,marienburg,0,sr,94,5.88,75.2,2.24
stockach,stockach,90,de,93,47.86,40.59,4.7
francistown,francistown,0,bw,57,-21.17,75.2,11.41
arua,arua,8,ug,50,3.02,70.23,6.4
scarborough,scarborough,64,gb,86,54.28,38.62,12.75
arroio grande,arroio grande,44,br,100,-32.24,71.27,18.03
senj,senj,0,hr,93,45.35,42.4,8.05
araxa,araxa,88,br,61,-19.59,72.12,5.84
parana,parana,80,ar,61,-31.73,79.32,10.2
kasane,kasane,75,bw,88,-17.8,69.8,8.05
marau,marau,32,br,84,-28.45,64.25,16.24
morondava,morondava,36,mg,77,-20.3,86.39,4.38
rorvik,rorvik,48,no,100,64.86,32.43,3.15
antsirabe,antsirabe,56,mg,96,-19.87,66.86,3.94
saint-andre-les-vergers,saint-andre-les-vergers,20,fr,93,48.29,36.59,4.7
okhtyrka,okhtyrka,48,ua,82,50.31,8.27,9.31
garissa,garissa,12,ke,73,-0.46,77.3,4.83
sann,sann,0,pk,48,26.04,64.4,6.93
hinche,hinche,92,ht,96,19.14,67.35,3.83
conakry,conakry,0,gn,88,9.52,75.2,7.96
nayudupeta,nayudupeta,0,in,62,13.91,83.87,4.61
verkhnyaya khava,verkhnyaya khava,90,ru,92,51.84,8.6,6.71
tabory,tabory,90,ru,100,64.46,33.8,6.71
karibib,karibib,0,na,77,-21.94,62.0,3.71
lukovetskiy,lukovetskiy,90,ru,100,64.29,33.8,6.71
luderitz,luderitz,0,na,79,-26.65,62.09,19.48
sucre,sucre,92,co,89,5.92,61.46,2.93
kasama,kasama,64,zm,95,-10.21,64.7,4.5
marck,marck,90,fr,93,50.95,38.01,8.05
pulaski,pulaski,1,us,51,37.05,38.3,6.96
bucarasica,bucarasica,24,co,100,8.04,59.3,1.7
ariquemes,ariquemes,56,br,98,-9.91,74.82,2.04
hendaye,hendaye,40,fr,93,43.37,40.86,4.7
sembe,sembe,32,cg,91,1.65,70.32,1.92
soligalich,soligalich,88,ru,83,59.08,18.93,19.04
baringo,baringo,0,ke,89,0.47,67.17,2.71
marevo,marevo,92,ru,91,57.31,25.68,15.9
san luis,san luis,8,ar,90,-33.3,64.88,2.37
kaupanger,kaupanger,32,no,100,61.18,19.2,1.7
galashki,galashki,88,ru,90,43.1,20.42,3.38
