,screen_name,date,text,compound,negative,neutral,positive
0,BBC,Fri Feb 02 20:04:03 +0000 2018,"A young woman investigates the historic disappearance of a girl from a small Welsh village, unraveling her own iden… https://t.co/AIDZipzjwH",0.0,0.0,1.0,0.0
1,BBC,Fri Feb 02 19:32:04 +0000 2018,"Tonight, @NigelSlater cooks and eats with the people of Lebanon as he discovers the secrets of the world's oldest c… https://t.co/1Rej75YenD",0.0,0.0,1.0,0.0
2,BBC,Fri Feb 02 19:00:07 +0000 2018,"? Ever heard of the Russian martial art 'Systema'?

#McMafia | Sundays 9pm | @BBCOne https://t.co/VUgqTDg06A",0.0,0.0,1.0,0.0
3,BBC,Fri Feb 02 18:30:06 +0000 2018,"?? When toast gets really tasty...

Here are nine ways to turn toast into a satisfying meal.
?… https://t.co/OIKqSyHPuM",0.4588,0.0,0.85,0.15
4,BBC,Fri Feb 02 17:31:01 +0000 2018,"'Oh hey............ man.'

? When you run into someone you used to know at school. https://t.co/K49xzg5hKQ",0.0,0.0,1.0,0.0
5,BBC,Fri Feb 02 16:00:08 +0000 2018,"?THAT'S MY JAM!

(? Sound on for this one!)
#FridayFeeling https://t.co/eUNZq3mi2O",0.0,0.0,1.0,0.0
6,BBC,Fri Feb 02 15:26:30 +0000 2018,"RT @BBCR1: What would you say to your favourite band in the world?

Stephanie gets a special message from @BTS_twt, whose music inspired he…",0.7096,0.0,0.781,0.219
7,BBC,Fri Feb 02 15:25:20 +0000 2018,"RT @bbcgetinspired: Tag your mates, start your own five-a-side team and sign up for the #FAPeoplesCup ? https://t.co/IEW5sKzv9F

@SamanthaQ…",0.0,0.0,1.0,0.0
8,BBC,Fri Feb 02 14:43:00 +0000 2018,"RT @BBCOne: All is not what it seems…
Question EVERYTHING.

? #Requiem • 9pm • BBC One
? https://t.co/2qvuR1whES https://t.co/rK5WdlK7vv",0.0,0.0,1.0,0.0
9,BBC,Fri Feb 02 14:42:56 +0000 2018,RT @bbcthree: Katie went from being a cheerleader to becoming one of the world's most recognisable freerunners. https://t.co/qs0PefQ1S3,0.2263,0.0,0.894,0.106
10,BBC,Fri Feb 02 14:30:05 +0000 2018,"?Missing #Winterwatch already?

Head to the BBC homepage to find a selection of @ChrisGPackham’s favourite moments… https://t.co/cEYJ6tNw8p",0.0,0.0,1.0,0.0
11,BBC,Fri Feb 02 14:03:25 +0000 2018,"RT @BBCSportWales: .@Nigelrefowens commands respect on the rugby field.

But does he need an agent? ?

This is ""Nige"" - Chapter 1: The Reun…",0.4767,0.0,0.871,0.129
12,BBC,Fri Feb 02 14:00:09 +0000 2018,"??? How to live life like a hedonist. 
? https://t.co/Dg8w8YHztM https://t.co/iUAgQZMLGH",0.3612,0.0,0.762,0.238
13,BBC,Fri Feb 02 13:30:09 +0000 2018,"? It’s long been thought that the ability to roll your tongue is a clear-cut case of genetics. 

@BBC_Future finds… https://t.co/Xs37m1gp6A",0.3182,0.0,0.887,0.113
14,BBC,Fri Feb 02 13:04:04 +0000 2018,"? Why do we say 'hello'? 
? Dr Laura Wright explains the origins of the word.
? https://t.co/CWWSObbDLz https://t.co/6YaSSOdTxd",0.0,0.0,1.0,0.0
15,BBC,Fri Feb 02 12:30:02 +0000 2018,Four things you'll only know if you play netball. ? https://t.co/w2Nd81iWmK,0.34,0.0,0.789,0.211
16,BBC,Fri Feb 02 12:00:06 +0000 2018,"??? #AnimalsWithCameras: Capturing the secrets of the wild. 
? https://t.co/0rEkuFUv93 https://t.co/nvV9jgqXHe",0.0,0.0,1.0,0.0
17,BBC,Fri Feb 02 11:42:04 +0000 2018,"RT @BBCOne: When penguins... HONK!... interrupt... HONK!... your TV interview... HONK! ? ? 

#AnimalsWithCameras. Thursdays at 8pm on @BBCO…",0.0,0.0,1.0,0.0
18,BBC,Fri Feb 02 09:42:20 +0000 2018,? Not everyone is upset that parts of Paris are still under water. https://t.co/5piIQ5YiPn,-0.3818,0.178,0.822,0.0
