,screen_name,date,text,compound,negative,neutral,positive
0,CBS,Fri Feb 02 22:36:13 +0000 2018,RT @swatcbs: ?@TheTalkCBS' @TheRealEve and @ShemarMoore brought some serious heat to the GRAMMYs red carpet: https://t.co/WYTITKkLQd https:…,-0.0772,0.075,0.925,0.0
1,CBS,Fri Feb 02 20:07:40 +0000 2018,"The all-star collaboration between @Rihanna, @DJKhaled and @brysontiller brought the party to the #GRAMMYs with a s… https://t.co/jTv5QbtgUp",0.4019,0.0,0.856,0.144
2,CBS,Fri Feb 02 19:03:33 +0000 2018,RT @TheTalkCBS: All the #redcarpet looks from the 60th annual #GRAMMYs! Did you catch @TheRealEve's sparkly two-piece suit? Diamond accents…,0.4003,0.0,0.876,0.124
3,CBS,Fri Feb 02 17:23:18 +0000 2018,Go backstage with the celebs and see which stars celebrated the big night together! Here are the moments you missed… https://t.co/rgQTXRQyLg,0.6114,0.0,0.834,0.166
4,CBS,Thu Feb 01 22:04:41 +0000 2018,? @DearEvanHansen star Ben Platt gave a soaring performance of a classic Broadway hit. Watch him perform 'Somewhere… https://t.co/HcuizFWo02,0.0,0.0,1.0,0.0
5,CBS,Thu Feb 01 20:09:49 +0000 2018,"? @LittleBigTown, @U2, @BrunoMars and @Pink are just a few of the superstar performers that lit up the stage at The… https://t.co/2v0MNYMItG",0.0,0.0,1.0,0.0
6,CBS,Wed Jan 31 21:42:15 +0000 2018,"Don't miss country stars Emmylou Harris and @ChrisStapleton perform a moving rendition of @TomPetty's classic song,… https://t.co/GxoIW97XIu",0.1139,0.0,0.912,0.088
7,CBS,Wed Jan 31 17:05:47 +0000 2018,RT @survivorcbs: Get excited! ? It’s finally time to meet the castaways of #Survivor: Ghost Island ? https://t.co/xQQ8ROhKbM https://t.co/P…,0.1007,0.115,0.75,0.135
8,CBS,Wed Jan 31 16:37:17 +0000 2018,"Country stars @EricChurch, @BrothersOsborne and @MarenMorris performed a touching tribute dedicated to the victims… https://t.co/YCIq9i70fd",0.4588,0.0,0.812,0.188
9,CBS,Wed Jan 31 06:55:30 +0000 2018,Missed the Man vs. Beast #SuperBowlCommercials showdown? Catch up now to find out which entertaining ad was named t… https://t.co/SlyO0n7yMX,0.1779,0.095,0.779,0.126
10,CBS,Wed Jan 31 02:15:16 +0000 2018,"RT @rikimae: Ok, that one makes me cry #superbowlcommercials",-0.2263,0.252,0.569,0.179
11,CBS,Wed Jan 31 01:58:40 +0000 2018,"If this doesn’t make you cry, nothing will. #SuperBowlCommercials https://t.co/UjFf3xr4so",-0.4767,0.256,0.744,0.0
12,CBS,Wed Jan 31 01:52:46 +0000 2018,"RT @maverickkr: #superbowlcommercials the frogs were great, I'd forgotten about that one.",0.4939,0.119,0.625,0.256
13,CBS,Wed Jan 31 01:49:43 +0000 2018,"If you haven't voted yet, it's not too late! Choose your favorite here: https://t.co/s4pEIF5IX8… https://t.co/VCa1YHDyYy",0.5093,0.0,0.81,0.19
14,CBS,Wed Jan 31 01:31:27 +0000 2018,RT @5691e44f3b66446: I am having so much fun ...the commercials are awesome #superbowlcommercials,0.8261,0.0,0.566,0.434
15,CBS,Wed Jan 31 01:29:10 +0000 2018,RT @LittleShelbyMae: Love watching the #superbowlcommercials all the animal ones are my favorite!!,0.8309,0.0,0.586,0.414
16,CBS,Wed Jan 31 01:24:16 +0000 2018,RT @PatHale915: Doritos time machine was great!   #superbowlcommercials,0.6588,0.0,0.614,0.386
17,CBS,Wed Jan 31 01:18:37 +0000 2018,Never make a goat angry. #SuperBowlCommercials https://t.co/xRJssdAErk,-0.5106,0.398,0.602,0.0
18,CBS,Wed Jan 31 01:17:37 +0000 2018,RT @MsLindsieStarr: That dang goat! #Doritos #superbowlcommercials,0.0,0.0,1.0,0.0
19,CBS,Wed Jan 31 01:16:15 +0000 2018,Do you remember this Super Bowl commercial featuring @KevinHart4real playing an overprotective father?… https://t.co/ejLnTEG5ug,0.7525,0.0,0.651,0.349
