,screen_name,date,text,compound,negative,neutral,positive
0,FoxNews,Sat Feb 03 01:39:23 +0000 2018,"@ChristopherHahn on GOP FISA memo: ""Why Carter Page is walking the street is a question that should keep a lot of R… https://t.co/AdYZgfCq7d",0.0,0.0,1.0,0.0
1,FoxNews,Sat Feb 03 01:28:45 +0000 2018,"WATCH: @DevinNunes interview - Part 2: ""I think the American people understand that the @FBI should not go to secre… https://t.co/7pew17iNvT",0.0,0.0,1.0,0.0
2,FoxNews,Sat Feb 03 01:28:36 +0000 2018,"WATCH: @DevinNunes interview - Part 1:  ""I get tired of playing whack-a-mole every day with the Democrats on this c… https://t.co/Q77bCKyP2b",-0.2732,0.128,0.793,0.079
3,FoxNews,Sat Feb 03 01:27:08 +0000 2018,".@TomFitton on GOP FISA memo: ""There is no Russia collusion story without the dossier. And we now know and have con… https://t.co/wmz8wdR4Kv",-0.296,0.095,0.905,0.0
4,FoxNews,Sat Feb 03 01:20:23 +0000 2018,"Joe DiGenova on GOP FISA memo: ""It's a disgraceful period in the history of the [DOJ] and the FBI and James Comey a… https://t.co/FD6w8O3vD4",0.0,0.0,1.0,0.0
5,FoxNews,Sat Feb 03 01:06:30 +0000 2018,"A distraught father apologized for charging at Larry Nassar in court Friday. He ended with these parting words: ""I… https://t.co/DabEQcKLGd",-0.3182,0.157,0.742,0.1
6,FoxNews,Sat Feb 03 01:00:33 +0000 2018,.@DevinNunes tells Fox News memo was released out of public obligation https://t.co/EL4KYalEfa https://t.co/Ogz9AZeAie,0.0,0.0,1.0,0.0
7,FoxNews,Sat Feb 03 00:59:00 +0000 2018,.@RepDeSantis: 'We Still Don't Have Evidence of Any Trump-Russia Campaign Collusion' https://t.co/rch7gtVSLD,0.0,0.0,1.0,0.0
8,FoxNews,Sat Feb 03 00:51:00 +0000 2018,Pentagon announces plan to expand nuclear arsenal in face of Russian threat https://t.co/Fx6Y7YWnl3,-0.2732,0.204,0.659,0.138
9,FoxNews,Sat Feb 03 00:38:34 +0000 2018,Video of Tom Brady kissing son on the lips sparks internet outcry https://t.co/QDgBtmxDzY,0.1027,0.183,0.611,0.206
10,FoxNews,Sat Feb 03 00:30:03 +0000 2018,".@jasoninthehouse: ""It's shocking how willingly &amp; easily the senior leadership of the @FBI was manipulated, &amp; to ha… https://t.co/GTF95RoSLI",-0.4404,0.224,0.675,0.101
