,screen_name,date,text,compound,negative,neutral,positive
0,nytimes,Sat Feb 03 01:33:04 +0000 2018,"It can regrow its limbs and internal organs, but that may not be the most amazing thing about the axolotl. Turns ou… https://t.co/7XdVtd6rCH",0.7677,0.0,0.796,0.204
1,nytimes,Sat Feb 03 01:18:04 +0000 2018,"K. T. McFarland withdraws her nomination to be ambassador to Singapore
https://t.co/LFhSAYgsd8",0.0,0.0,1.0,0.0
2,nytimes,Sat Feb 03 01:03:02 +0000 2018,The flu hospitalization rate is the highest that the CDC has ever recorded at this point in the season https://t.co/DxCJ1QA1zJ,-0.3818,0.12,0.88,0.0
3,nytimes,Sat Feb 03 00:48:02 +0000 2018,RT @nytpolitics: President Trump hinted that senior leaders at the Department of Justice and the F.B.I. should face consequences for conduc…,0.5267,0.0,0.855,0.145
4,nytimes,Sat Feb 03 00:33:05 +0000 2018,"Dozens of entrepreneurs, made newly wealthy by virtual currencies, have moved to Puerto Rico to avoid taxes on thei… https://t.co/LvwhivSPaA",0.0772,0.097,0.793,0.11
5,nytimes,Sat Feb 03 00:18:04 +0000 2018,"One of nearly 9,000 educators protected under DACA, Karen Reyes, who teaches deaf toddlers, has struggled to explai… https://t.co/RCMCBYePSv",0.128,0.108,0.762,0.13
6,nytimes,Sat Feb 03 00:03:05 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/aKk9AQWU7t,0.0,0.0,1.0,0.0
7,nytimes,Fri Feb 02 23:48:05 +0000 2018,Wells Fargo has been ordered to replace 4 board members and limit its growth after the company’s scandal over fraud… https://t.co/pHw1OAaOUF,0.1779,0.118,0.694,0.188
8,nytimes,Fri Feb 02 23:33:05 +0000 2018,"The Best TV shows and movies new to Netflix, Amazon and more in February https://t.co/M74NBd9LX2",0.7096,0.0,0.688,0.312
9,nytimes,Fri Feb 02 23:18:05 +0000 2018,Plans by a Norwegian artist for an unusual new building next to the site of Edvard Munch’s studio have stirred a he… https://t.co/9b0tGuprby,0.0,0.0,1.0,0.0
10,nytimes,Fri Feb 02 23:08:04 +0000 2018,"RT @NYTScience: When the anesthetic wore off, it was almost like these plants were regaining consciousness, something we typically don’t th…",0.2975,0.0,0.901,0.099
11,nytimes,Fri Feb 02 22:56:00 +0000 2018,"In an email to staff, Wayne Pacelle said that because “our mission depends on unity,” he was stepping aside to allo… https://t.co/7qRFMDl9VT",0.0,0.0,1.0,0.0
12,nytimes,Fri Feb 02 22:50:16 +0000 2018,Breaking News: The CEO of the Humane Society of the United States resigned after sexual harassment allegations and… https://t.co/IDKlXlfBGY,-0.4019,0.226,0.658,0.115
13,nytimes,Fri Feb 02 22:43:07 +0000 2018,"The NYT review of Justin Timberlake's new album, ""Man of the Woods"" https://t.co/ikHJeLCwNI",0.0,0.0,1.0,0.0
14,nytimes,Fri Feb 02 22:35:04 +0000 2018,"Kenya's government is defying a court order to put 4 private TV stations back on the air, escalating a week of poli… https://t.co/ZbaNVkpdbL",0.0,0.0,1.0,0.0
15,nytimes,Fri Feb 02 22:31:19 +0000 2018,@pete_wells Salt Bae opened a steakhouse in New York City. We sent our restaurant critic @pete_wells.… https://t.co/MPjDTqFXmg,-0.2732,0.123,0.877,0.0
16,nytimes,Fri Feb 02 22:18:03 +0000 2018,Our reporters analyzed the previously secret GOP memo on the Russia inquiry. Here are their notes alongside the mem… https://t.co/siCQcABdsg,0.0,0.0,1.0,0.0
17,nytimes,Fri Feb 02 22:03:03 +0000 2018,RT @benshpigel: The Eagles' embrace of data and counterintuitive thinking powered them to the Super Bowl. I visited the analytics firm behi…,0.7351,0.0,0.754,0.246
